ttc,fuzzy,metric,os_speed,ts_speed,os_maneuverability,ts_maneuverability
540.0000000466522,88.9222555889222,0.62757611325994,20.0,20.0,5.0,5.0
540.0000000466522,76.18065516644701,0.3651582961355484,20.0,20.0,5.0,13.3
540.0000000466522,76.18065516644701,0.3297114679213861,20.0,20.0,13.3,5.0
617.1428571961741,76.15558892225569,0.5320978328114779,15.0,20.0,5.0,5.0
617.1428571961741,76.15558892225569,0.5317316529393823,20.0,15.0,5.0,5.0
540.0000000466522,71.29850234822939,0.2210547252717472,20.0,20.0,21.6,5.0
540.0000000466522,71.29850234822939,0.2213617791614577,20.0,20.0,5.0,21.6
720.0000000622031,71.26454642177919,0.3040567543084362,10.0,20.0,5.0,5.0
720.0000000622031,71.26454642177919,0.3037070662319122,20.0,10.0,5.0,5.0
540.0000000466522,71.18011484364254,0.540014052752699,20.0,20.0,13.3,13.3
617.1428571961741,71.17138659962893,0.4585764182065826,15.0,20.0,13.3,5.0
617.1428571961741,71.17138659962893,0.4659077576426057,20.0,15.0,5.0,13.3
720.0000000622031,71.16378621907846,0.6023271830078089,15.0,15.0,5.0,5.0
540.0000000466522,69.04327610977292,0.434487329062621,20.0,20.0,13.3,21.6
540.0000000466522,69.04327610977292,0.4341114009451584,20.0,20.0,21.6,13.3
617.1428571961741,69.03955872868465,0.2883574825999074,20.0,15.0,5.0,21.6
617.1428571961741,69.03955872868465,0.2880577548934943,15.0,20.0,21.6,5.0
540.0000000466522,69.03219190013037,0.5053282274773188,20.0,20.0,21.6,21.6
720.0000000622031,69.02586109840564,0.4456219423484182,20.0,10.0,5.0,13.3
720.0000000622031,69.02586109840563,0.4450774432550763,10.0,20.0,13.3,5.0
1080.0000000933044,69.02217097003279,0.5707146899173877,10.0,10.0,5.0,5.0
864.0000000746437,69.02217097003279,0.4482963063275981,15.0,10.0,5.0,5.0
864.0000000746437,69.02217097003278,0.4550035268094278,10.0,15.0,5.0,5.0
720.0000000622031,69.02035089786806,0.4621469480438071,20.0,10.0,5.0,21.6
720.0000000622031,69.02035089786806,0.4620444980867284,10.0,20.0,21.6,5.0
540.0000000466522,66.73326822582963,0.1789350253191349,20.0,20.0,5.0,29.9
540.0000000466522,66.73326822582963,0.1786967281845011,20.0,20.0,29.9,5.0
540.0000000466522,66.732225787883,0.4924680885162006,20.0,20.0,29.9,29.9
540.0000000466522,66.71260644495831,0.3106443654305136,20.0,20.0,29.9,13.3
540.0000000466522,66.71260644495831,0.3136654555847858,20.0,20.0,13.3,29.9
